subject_slug,counterpart_slug,counterpart_name,type,type_label,sign,subtype,source,text
abraham,joaquin_trincado_mateo,Joaquín Trincado Mateo,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact:** Trincado repeatedly wrote about Abraham in the *Código de Amor Universal*, presenting an alleged “Testament of Abraham” as the foundation of a secret initiatory succession transmitted through Jacob and Moses and supposedly fulfilled by the EMECU. The fact that Trincado published this account is documented; the testament, transmission, and fulfillment are **mythic or religious claims**, unsupported by accepted historical evidence. [Primary text: *Código de Amor Universal*, tome I](https://emedelacu.org/wp-content/uploads/2023/07/CodigodeAmorUniversalTomoI-1.pdf)"
abraham,rene_girard,René Noël Théophile Girard,1,wrote_about,+,,mirror,- **[T1-]** **Documented fact:** Girard interpreted Abraham’s interrupted sacrifice of Isaac as a biblical disclosure of the transition away from human sacrifice. The episode appears in *Things Hidden since the Foundation of the World* and later biblical conversations. [St Andrews Encyclopaedia of Theology](https://www.saet.ac.uk/Christianity/ReneGirardandMimeticTheory)
abraham,benjamin_de_tudela,Rabbi Benjamin son of Jonah of Tudela,1,wrote_about,+,,mirror,Benjamin wrote about places and tomb traditions associated with this earlier biblical figure.
abraham,saadia_gaon,Saadia Gaon,1,wrote_about,+,,mirror,Saadia interpreted the Abraham narratives in Genesis and incorporated patriarchal history into his theology.
abraham,judah_loew_ben_bezalel_the_maharal_of_prague,Judah Loew ben Bezalel,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact:** Loew repeatedly interpreted the biblical Abraham in *Gur Aryeh* and his theological works, treating his covenant, separation from idolatrous society, and distinctive spiritual quality as foundational to Israel’s formation. This is direct written engagement with the earlier figure, not a biographical encounter. [Example from *Gur Aryeh* on Genesis 13–14](https://www.sefaria.org/Gur_Aryeh_on_Bereishit.13.18.1)"
abraham,jesus,Jesus of Nazareth,1,wrote_about,+,,mirror,"Jesus's reported teachings engage Abraham as an ancestral figure, while Matthew also constructs a theological genealogy linking them."
abraham,jacob_frank,Jacob Frank,1,wrote_about,+,,mirror,"Frank reinterpreted Abraham in teachings recorded by his disciples, portraying him as a patriarch who failed to reach the Virgin and esoterically recasting God's appearance to him as El Shaddai."
abraham,erich_fromm,Erich Seligmann Fromm,1,wrote_about,+,,mirror,Fromm interpreted Abraham in his writings as a paradigmatic biblical hero whose departure from country and clan marks a movement from possession toward freedom.
abraham,saint_augustine_of_hippo,Aurelius Augustinus,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact:** Augustine repeatedly wrote about the biblical patriarch Abraham, notably in *City of God* XVI, where Abraham’s family, covenant, and chronology form part of Augustine’s sacred history. The connection is textual and theological, not personal."
abraham,rashi,Rashi,1,wrote_about,+,,mirror,Rashi wrote about this earlier biblical figure through biblical commentary and rabbinic interpretation.
abraham,jacques_derrida,Jacques Derrida,1,wrote_about,+,,mirror,"Derrida treated Abraham as a central scriptural and philosophical figure in discussions of sacrifice, secrecy, responsibility, and circumcision."
abraham,maimonides,Maimonides,9,shared_object_site,+,,mirror,"Maimonides later visited Hebron, traditionally identified as Abraham’s burial place."
abraham,king_david,David ben Jesse,1,wrote_about,+,,mirror,Biblical genealogy and covenant theology connect the later David to the earlier ancestral figure Abraham.
abraham,origen,Origen of Alexandria,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact:** Origen interpreted Abraham extensively in his *Commentary* and *Homilies on Genesis*, begun at Alexandria and continued during his Caesarean career (c. 220s–240s); he also defended Abraham’s ancestral and religious significance in *Against Celsus* 4.33–35 (c. 248, Caesarea). [Origen, *Against Celsus* 4](https://www.newadvent.org/fathers/04164.htm)"
abraham,tertullian,Tertullian,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact:** Tertullian repeatedly interprets Abraham’s circumcision, faith, marriages, and covenantal status, especially in *Adversus Iudaeos* 2–3 and *De monogamia* 6 (Carthage, late second or early third century). ([*Adversus Iudaeos*](https://www.newadvent.org/fathers/0308.htm), [*De monogamia*](https://www.newadvent.org/fathers/0406.htm))"
abraham,dante,Dante Alighieri,1,wrote_about,+,,mirror,Dante included Abraham among the patriarchs whom Christ took from Limbo.
abraham,martin_luther,Martin Luther,1,wrote_about,+,,mirror,"Luther translated, lectured, preached, or wrote about this biblical figure as part of his scriptural interpretation."
abraham,rumi,Jalal al-Din Rumi,1,wrote_about,+,,mirror,"Rumi repeatedly wrote about Abraham as a scriptural and symbolic figure in narratives of faith, fire, sacrifice, and iconoclasm."
abraham,nabucodonosor_ii,Nabucodonosor II,9,shared_object_site,+,,mirror,"Abraham was traditionally associated with Ur, where Nebuchadnezzar later restored temples and monuments."
abraham,albert_pike,Albert Pike,1,wrote_about,+,,mirror,"Pike portrayed Abraham as a patriarch, initiate, and transmitter of ancient religious knowledge in Morals and Dogma."
abraham,samuel_preiswerk,Samuel Preiswerk,1,wrote_about,+,,mirror,Preiswerk wrote about Abraham and related biblical traditions in his scholarship and editorial work.
abraham,ezekiel,Ezekiel son of Buzi,1,wrote_about,+,,mirror,Ezekiel cited Abraham while rejecting the remaining population's claim that Abraham's possession of the land entitled them to it.
abraham,grigori_rasputin,Grigori Yefimovich Rasputin,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact (textual):** Writing about his 1911 Holy Land pilgrimage, Rasputin described visiting the Oak of Mamre, recounted Abraham’s reception of the three angels, and presented Abraham and Sarah as exemplars of hospitality. The passage appeared in *My Thoughts and Reflections* (Petrograd, 1915), a work dictated by Rasputin and probably edited by followers ([text](https://omolenko.com/en/rasputin/st-grigori-rasputin-ideas-and-thoughts.htm))."
abraham,moses_de_leon,Moses de Leon,1,wrote_about,+,,mirror,Moses de Leon interpreted the biblical Abraham within his kabbalistic exegesis and symbolism.
abraham,robert_finley,Robert Finley,9,shared_object_site,+,,mirror,"Finley followed Baldwin in the institutional history of Franklin College, later the University of Georgia, becoming president in 1817 after Baldwin’s earlier founding role and presidency."
abraham,egeria,Egeria,9,shared_object_site,+,,mirror,Egeria visited Carrhae/Harran and nearby sites identified by local Christians with Abraham and his family.
abraham,alberto_gerchunoff,Alberto Gerchunoff,1,wrote_about,+,,mirror,Gerchunoff incorporated biblical Abraham and patriarchal narratives into his literary representation of Jewish life in Argentina.
abraham_abulafia,aristotle,Aristotle,1,wrote_about,-,,own,"- **[T1-]** **Documented fact:** Abulafia explicitly discussed Aristotle and quoted the *Metaphysics* repeatedly in *Otzar ʿEden Ganuz*; he also commented on the *Organon* and reported studying Aristotelian works on nature and metaphysics before repeatedly studying Maimonides’ *Guide*. The crossing is textual and mediated through medieval Hebrew and Arabic philosophical traditions, not personal. [Moshe Idel, *Abraham Abulafia’s Esotericism*, chapter on his studies and teaching](https://www.degruyterbrill.com/document/doi/10.1515/9783110599978-002/pdf?licenseType=open-access)"
abraham_abulafia,maimonides,Maimonides,1,wrote_about,-,,own,"- **[T1-]** **Documented fact:** Abulafia made Maimonides’ *Guide of the Perplexed* a principal subject of his teaching and wrote three commentaries on it—*Sefer ha-Geʾullah*, *Hayyei ha-Nefesh*, and *Sitrei Torah*—between the 1270s and 1280. He interpreted Maimonidean prophecy and intellect through his own combinatorial Kabbalah; the two could not have met because Maimonides died in 1204. [Cambridge Dictionary of Judaism and Jewish Culture](https://assets.cambridge.org/97805218/25979/excerpt/9780521825979_excerpt.pdf); [Idel, *Abraham Abulafia’s Esotericism*](https://www.ssoar.info/ssoar/bitstream/document/70561/1/ssoar-2020-idel-Abraham_Abulafias_Esotericism_Secrets_and.pdf)"
abraham_abulafia,moses,Moses,1,wrote_about,-,,own,"- **[T1-]** **Documented fact:** Abulafia repeatedly interpreted Moses as the exemplary prophet and cast his own 1280 mission to Pope Nicholas III in the narrative pattern of Moses confronting Pharaoh. The connection is scriptural interpretation and deliberate self-typology, not a historical encounter. [Moshe Idel, “Abraham Abulafia on the Messiah and the Pope”](https://www.mdpi.com/2077-1444/16/3/273)"
abraham_abulafia,jesus,Jesus of Nazareth,1,wrote_about,-,,own,"- **[T1-]** **Documented fact:** Abulafia treated Jesus and Christian claims about him in writings responding to Christianity, including symbolic discussions connecting Jesus with the angelic figures Metatron and Sandalfon. His treatment combined polemic, appropriation, and esoteric reinterpretation; it was necessarily textual rather than personal. [Robert J. Sagerman, *The Serpent Kills or the Serpent Gives Life*, especially “Abulafia and Jesus: Metatron and Sandalfon”](https://brill.com/display/book/9789004194472/Bej.9789004194465.i-384_003.pdf)"
abraham_abulafia,giovanni_pico_della_mirandola,Giovanni Pico della Mirandola,3,discourse,,,own,"- **[T3]** **Documented fact:** In Florence in 1486, nearly two centuries after Abulafia’s death, Pico commissioned Flavius Mithridates to translate substantial Abulafian writings into Latin and incorporated material from this translated corpus into his Christian Kabbalah. This was one-sided, posthumous written engagement mediated by a translator, not correspondence or personal contact. Scholarship identifies Abulafia as one of Pico’s two principal kabbalistic sources. [Cambridge Handbook of Western Mysticism and Esotericism](https://www.cambridge.org/core/books/abs/cambridge-handbook-of-western-mysticism-and-esotericism/christian-kabbalah/06C1841D0B561A4F4A01E791743CF4DE); [Moshe Idel, “Abraham Abulafia and the Emergence of Christian Kabbalah”](https://brill.com/view/journals/zuto/22/1/article-p15_4.pdf)"
abraham_abulafia,johannes_reuchlin,Johannes Reuchlin,3,discourse,,,own,"- **[T3]** **Documented fact:** Reuchlin’s *De verbo mirifico* (1494) and especially *De arte cabalistica* (1517) participated in the Christian-kabbalistic reception of Abulafian divine-name speculation and distinctions between forms of Kabbalah. The engagement was indirect and posthumous, transmitted through the Italian Christian-Kabbalah environment associated with Pico and Mithridates; no personal meeting was possible. [Cambridge Dictionary of Judaism and Jewish Culture](https://assets.cambridge.org/97805218/25979/excerpt/9780521825979_excerpt.pdf); [Cambridge University Press, “Hermeticism, the Cabala, and the Search for Ancient Wisdom”](https://www.cambridge.org/core/books/magic-science-and-religion-in-early-modern-europe/hermeticism-the-cabala-and-the-search-for-ancient-wisdom/A34EAAD6820340AD3F27F1297127F506)"
abraham_abulafia,erich_fromm,Erich Seligmann Fromm,1,wrote_about,+,,own,"- **[T1+]** **Documented fact:** Fromm discussed Abulafia in *You Shall Be as Gods* (1966), presenting his messianic announcement for 1290 and the opposition organized by Solomon ibn Adret as an episode in the history of Jewish messianism and resistance to authority. This is a later author writing about Abulafia, not evidence of direct intellectual transmission from Abulafia to Fromm. [Bibliographic discussion of Fromm’s passage](https://elretohistorico.com/abraham-abulafia-sefari-mistico/)"
abraham_abulafia,mircea_eliade,Mircea Eliade,1,wrote_about,+,,own,"- **[T1+]** **Documented fact:** Eliade included Abulafia in his historical survey of Jewish mysticism in volume 3 of *A History of Religious Ideas*, discussing his ecstatic and prophetic Kabbalah. This is twentieth-century historiographical treatment of Abulafia, not a personal or manuscript-lineage connection. [Bibliographic record and index reference for *A History of Religious Ideas*, vol. 3](https://www.perlego.com/book/1842551/history-of-religious-ideas-volume-3-from-muhammad-to-the-age-of-reforms-pdf)"
abraham_abulafia,juan_eduardo_cirlot,Juan Eduardo Cirlot Laporta,3,discourse,,,mirror,Cirlot adapted Abulafia’s Kabbalistic letter-permutation methods for the poetic combinatorics of several works.
abraham_abulafia,giovanni_pico_della_mirandola,Giovanni Pico della Mirandola,1,wrote_about,+,,mirror,"Pico engaged Abulafian Kabbalistic materials concerning divine names, letter permutation, and mystical ascent through texts mediated by Jewish collaborators."
abraham_abulafia,moses_de_leon,Moses de Leon,3,discourse,,,mirror,Moses de Leon was indirectly connected to Abulafia’s intellectual network through Joseph Gikatilla and may have criticized Abulafia’s interpretive method.
abraham_lincoln,karl_marx,Karl Marx,3,discourse,,,own,"Marx drafted a public congratulatory address to Lincoln, and an official response was conveyed on Lincoln’s behalf."
abraham_lincoln,john_brown,John Brown,1,wrote_about,-,,own,Lincoln discussed Brown’s earlier Harpers Ferry raid in his Cooper Union speech.
abraham_lincoln,thomas_jefferson,Thomas Jefferson,1,wrote_about,-,,own,Lincoln repeatedly invoked Jefferson’s Declaration of Independence and its equality principle in his antislavery rhetoric.
abraham_lincoln,george_washington,George Washington,1,wrote_about,-,,own,Lincoln read about and later invoked Washington in his constitutional and antislavery arguments.
abraham_lincoln,andrew_jackson,Andrew Jackson,1,wrote_about,-,,own,Lincoln drew on Jackson’s earlier resistance to nullification when arguing against unilateral secession.
abraham_lincoln,benjamin_franklin,Benjamin Franklin,1,wrote_about,-,,own,Lincoln examined Franklin’s conduct concerning federal authority over slavery in the territories during his Cooper Union argument.
abraham_lincoln,alexander_hamilton,Alexander Hamilton,1,wrote_about,-,,own,Lincoln examined Hamilton’s conduct concerning federal authority over slavery in the territories during his Cooper Union argument.
abraham_lincoln,jamie_dimon,"James ""Jamie"" Dimon",1,wrote_about,+,,mirror,Dimon briefly cited Abraham Lincoln in JPMorgan Chase’s 2024 annual-report letter as an American leader who exemplified the country’s ability to confront major crises.
abraham_lincoln,jose_marti,José Julián Martí Pérez,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact:** Martí repeatedly invoked Lincoln as the exemplary antislavery president and moral standard against which he judged later United States politics. He also attended Walt Whitman’s April 1887 New York lecture commemorating Lincoln, an occasion incorporated into “El poeta Walt Whitman.” Martí’s published assessment that Lincoln, were he alive, would reject the political conduct of his successors is preserved in his United States chronicles. [Library of America](https://www.loa.org/news-and-views/poet-and-revolutionary-jose-marti-on-walt-whitman-the-united-states-and-the-universal-i/), [Journal of Latin American Studies](https://www.cambridge.org/core/journals/journal-of-latin-american-studies/article/abs/jose-marti-and-the-united-states-a-further-interpretation/E43C4C23813BDF81890F5D8EE66AC10D)"
abraham_lincoln,hugo_chavez,Hugo Rafael Chávez Frías,1,wrote_about,+,,mirror,Chávez invoked Lincoln in speeches as a major anti-slavery and republican figure.
abraham_lincoln,bill_clinton,William Jefferson Clinton,1,wrote_about,+,,mirror,Clinton cited or discussed this earlier historical figure in speeches or historical argument.
abraham_lincoln,john_f_kennedy,John Fitzgerald Kennedy,1,wrote_about,+,,mirror,"Kennedy invoked Lincoln’s legacy in speeches concerning union, equality, and national obligation."
abraham_lincoln,francis_bellamy,Francis Julius Bellamy,1,wrote_about,+,,mirror,"Bellamy, the later figure, wrote the 1897 work “A Man of the People” about Lincoln."
abraham_lincoln,stephen_king,Stephen Edwin King,1,wrote_about,+,,mirror,King treated the earlier Lincoln as a historical subject and reference in his nonfiction and American historical imagination.
abraham_lincoln,andrew_jackson,Andrew Jackson,3,discourse,,,mirror,"Lincoln and his advisers later engaged with Jackson’s Nullification Proclamation, whose unionist reasoning influenced Lincoln’s First Inaugural Address."
abraham_lincoln,john_a_roebling,John Augustus Roebling,3,discourse,,,mirror,"Roebling wrote an unpublished 1861 manuscript addressed to the president and thus intended for Lincoln, although there is no evidence that Lincoln received or read it."
abraham_lincoln,frederic_auguste_bartholdi,Frédéric Auguste Bartholdi,1,wrote_about,+,,mirror,"Lincoln’s commemoration, emancipation, and the Union victory influenced the republican political context in which Bartholdi’s Liberty developed, although no personal meeting is documented."
abraham_lincoln,andrew_carnegie,Andrew Carnegie,5,friendship_meeting,,,mirror,Carnegie repeatedly saw Lincoln in the War Department telegraph office during the Civil War and was occasionally brought into personal contact with him.
abraham_lincoln,andrew_carnegie,Andrew Carnegie,1,wrote_about,+,,mirror,Carnegie later wrote a substantial firsthand character sketch of Lincoln in his autobiography.
abraham_lincoln,giuseppe_garibaldi,Giuseppe Maria Garibaldi,3,discourse,,,mirror,"- **[T3]** **Documented fact:** Garibaldi and Lincoln never met or corresponded directly during the 1861 negotiations; communication about a Union commission passed through U.S. diplomats. Garibaldi nevertheless addressed an open letter to Lincoln on **6 August 1863**, praising emancipation and calling him the heir of John Brown. This constitutes one-sided written engagement, not a personal relationship. [American Battlefield Trust](https://www.battlefields.org/learn/primary-sources/giuseppe-garibaldi-president-lincoln)"
abraham_lincoln,mahatma_gandhi,Mohandas Karamchand Gandhi,1,wrote_about,+,,mirror,Gandhi invoked the earlier figure Lincoln when discussing freedom and political courage.
