slug,traveler,title,years,register,n_segments,n_stops,first_date,last_date,path,status,dossier_path
amir_khusrow,Amir Khusrow Dehlavi (Abu'l Hasan Yamin ud-Din Khusrau),"The Parrot of India: Patiyali, the Seven Sultans, and the Grave at the Shaikh's Feet",1253-1325,national mythology: the canon is true,9,44,1230-01-01,2011-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/amir_khusrow.journey.json,built,
andre_breton,André Breton,The Gold of Time: from a Norman police house to the wall on the rue Fontaine,1896-1966,national mythology: the canon is true,9,45,1896-02-19,2003-04-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/andre_breton.journey.json,built,
andrew_jackson,Andrew Jackson,"The Waxhaws to the Garden Tomb: Old Hickory, the Removal, and the War on the Bank",1767-1845,national mythology: the canon is true,9,45,1767-03-15,1928-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/andrew_jackson.journey.json,built,
angel_della_valle,Ángel della Valle,"The Room and the Raid: eleven years in Florence, and a frontier painted at second hand",1852-1903,national mythology: the canon is true,6,30,1848-01-01,2021-10-31,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/angel_della_valle.journey.json,built,
angel_villoldo,Ángel Gregorio Villoldo (born Ghigiola Roggio),"The Danza Criolla: Villoldo, El Choclo, and the Tune That Left Buenos Aires Without Him",1861-1919,national mythology: the canon is true,7,37,1861-02-16,2013-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/angel_villoldo.journey.json,built,
anita_garibaldi,Anita Garibaldi (Ana Maria de Jesus Ribeiro),"The Lagoon to the Marsh: the Farrapos, the Plata, and the Retreat from Rome",1821-1849,national mythology: the canon is true,8,43,1821-08-30,2012-04-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/anita_garibaldi.journey.json,built,
ann_lee,"Ann Lee (Ann Lees, called Mother Ann)",The Mill and the Wilderness: Mother Ann from Toad Lane to Niskayuna,1736-1784,national mythology: the canon is true,8,44,1736-02-29,2025-09-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ann_lee.journey.json,built,
anna_pavlova,Anna Matveyevna Pavlova,The Swan and the Timetable: an Imperial Ballerina Against the Map,1881-1931,national mythology: the canon is true,9,43,1881-02-12,2006-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/anna_pavlova.journey.json,built,
anni_albers,Anni Albers (Annelise Else Frieda Fleischmann),The Thread That Caught Her: Charlottenburg to the Andes by way of Dessau and a Mountain in Carolina,1899-1994,national mythology: the canon is true,9,45,1899-06-12,2018-10-20,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/anni_albers.journey.json,built,
annie_besant,Annie Besant (née Wood),"Clapham to Adyar: Priest's Wife, Freethinker, Firebrand, President",1847-1933,national mythology: the canon is true,9,42,1847-10-01,1933-10-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/annie_besant.journey.json,built,
antoine_de_saint_exupery,Antoine de Saint-Exupéry,"The Line and the Sea: Aéropostale, Patagonia, and the Flight That Did Not Return",1900-1944,national mythology: the canon is true,9,44,1900-06-29,2003-09-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/antoine_de_saint_exupery.journey.json,built,
antoinette_de_saint_leger,Antoinette de Saint Léger (born Bayer or Tzikos; styled Baroness de Saint Léger),"Two Rocks in Lago Maggiore: the Baroness of Brissago, the Garden Carried Over by Boat, and the Poorhouse at Intragna",1856-1948,national mythology: the canon is true,9,45,1856-06-20,2019-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/antoinette_de_saint_leger.journey.json,built,
antoni_gaudi,Antoni Gaudí i Cornet,"The Coppersmith's Son: Gaudí, the Patron, and the Temple He Left One Fifth Built",1852-1926,national mythology: the canon is true,9,45,1852-06-25,2026-02-20,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/antoni_gaudi.journey.json,built,
aristotle,"Aristotle (Aristotélēs, son of Nicomachus)",Stagira to Chalcis: the Master of Those Who Know,384-322 BC,national mythology — the canon is true,7,40,-0384-01-01,1318-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/aristotle.journey.json,built,
arnold_rikli,Arnold Rikli,"The Lake at Veldes: the Dyer, the Atmospheric Cure, and the Sun Cult of Ascona",1823-1906,national mythology: the canon is true,9,39,1823-02-13,2025-07-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/arnold_rikli.journey.json,built,
arshag_shorjian,Arshag Shorjian,The Woodpile and the Last: from Hadjin in the Taurus to an orthopedic bench in Buenos Aires,1898-after 2000,national mythology: the canon is true,9,43,1898-01-01,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/arshag_shorjian.journey.json,built,
artaud,Antonin Artaud,Le Voyage au bout du corps: Marseille to Ivry,1896–1948,national mythology: the canon is true,7,60,1896-09-04,1948-03-08,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/artaud.journey.json,built,
arthur-lotharingia,"Arthur of Lotharingia (Wolfram von Eschenbach's Artus, King of Bertane)",The Round Table of Bertane: Karidoel to Schamilot,841-848,"national mythology, the canon is true",7,24,0841-01-06,0848-05-21,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/arthur-lotharingia.journey.json,built,
arthur_ben,Arthur Ben,"Selma, the Gulf of Tonkin, and the Apron: a drafted sailor, a union librarian, and a memory theatre folded out of bed sheets",1947-2024,national mythology: the canon is true,8,45,1947-08-28,2024-06-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/arthur_ben.journey.json,built,
arthur_bispo_do_rosario,Arthur Bispo do Rosário,"The Inventory of Everything That Exists: the Sailor, the Number 01662, and the Cape for Judgment Day",1909-1989,national mythology: the canon is true,8,35,1909-05-14,2018-02-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/arthur_bispo_do_rosario.journey.json,built,
arthur_edward_waite,Arthur Edward Waite,"The Reading Room and the Seventy-Eight Cards: Waite, the Auditor of Secret Traditions",1857-1942,national mythology: the canon is true,9,45,1857-10-02,2009-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/arthur_edward_waite.journey.json,built,
attar,"Farid al-Din Attar (Farid al-Din Muhammad ibn Ibrahim, 'Attar-e Nishaburi)",The Druggist's Shop to the Court of the Simurgh: Nishapur and the Thirty Birds,c. 1145-1221,national mythology — the canon is true,7,33,1145-01-01,1221-04-10,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/attar.journey.json,built,
auguste_rodin,Auguste Rodin (François Auguste René Rodin),The Gates That Were Never Delivered: from the Petite École to the Grave at Meudon,1840-1917,national mythology: the canon is true,8,45,1840-11-12,2022-06-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/auguste_rodin.journey.json,built,
augusto_boal,Augusto Boal (Augusto Pinto Boal),"From Penha to Lapa: the Arena, the Cells, and the Theatre of the Oppressed",1931-2009,national mythology: the canon is true,9,44,1931-03-16,2018-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/augusto_boal.journey.json,built,
augusto_pinochet,Augusto Pinochet Ugarte,"The Port, the Palace and the Ashes: Pinochet from Valparaiso to Los Boldos",1915-2006,national mythology: the canon is true,9,45,1915-11-25,2006-12-13,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/augusto_pinochet.journey.json,built,
ayatollah_khomeini,Ruhollah Mostafavi Musavi Khomeini,"The Cell at Dar al-Shafa to the Torn Shroud: exile, the guardianship of the jurist, and a state made from a garden outside Paris",1900-1989,national mythology: the canon is true,9,45,1900-05-17,2016-02-26,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ayatollah_khomeini.journey.json,built,
barbier,Charles Barbier de la Serre,The Cipher of the Dark: Valenciennes to Père-Lachaise,1767-1841,"national mythology, the canon is true",7,20,1767-05-18,1841-04-26,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/barbier.journey.json,built,
belgrano,Manuel Belgrano,"Belgrano: De Buenos Aires a Buenos Aires, la Patria, la Bandera y el Ocaso",1770-1820,national mythology: the canon is true,8,59,1770-06-03,1820-06-20,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/belgrano.journey.json,built,
benigno_villanueva,Benigno Benjamín Villanueva (Villanokoff),The Cigar and the Steppe: an Argentine Duellist Who Ends as a General of the Tsar,1815-1872/1875,national mythology: the canon is true,9,40,1815-01-01,2011-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/benigno_villanueva.journey.json,built,
benjamin_de_tudela,Rabbi Benjamin son of Jonah of Tudela (Benjamin de Tudela),"The Book of Travels: a Navarrese Rabbi Counts the Jews of the World, Tudela to Baghdad and Home",c. 1165-1173,national mythology: the canon is true,9,45,1165-01-01,1994-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/benjamin_de_tudela.journey.json,built,
benjamin_franklin,Benjamin Franklin,"The Printer and the Paper Money: Boston, Philadelphia, Craven Street, Passy",1706-1790,national mythology: the canon is true,8,45,1706-01-17,1998-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/benjamin_franklin.journey.json,built,
benjamin_netanyahu,Benjamin Netanyahu (Bibi),"The Historian's Son: Cheltenham, the Unit, the Rostrum, and the Long Premiership",1949-present,national mythology: the canon is true,9,45,1949-10-21,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/benjamin_netanyahu.journey.json,built,
benkos_bioho,Benkos Biohó,"The Bijagós to the Plaza: Benkos Biohó, the Arcabuco, and the Free Town of Palenque",c.1570-1621,national mythology: the canon is true,9,37,1570-01-01,2008-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/benkos_bioho.journey.json,built,
bernard_clairvaux,Bernard of Clairvaux,The Mellifluous Doctor: Fontaine to Clairvaux,1090-1153,national mythology: the canon is true,8,30,1090-01-01,1174-01-18,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/bernard_clairvaux.journey.json,built,
bethsabee_de_rothschild,Bethsabée (Batsheva) de Rothschild,"The Bank to the Studio Floor: Bethsabée de Rothschild, the Graham Technique, and the Founding of Israeli Modern Dance",1914-1999,national mythology: the canon is true,7,45,1905-03-01,2006-07-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/bethsabee_de_rothschild.journey.json,built,
betty_shannon,Mary Elizabeth Moore Shannon (Betty Shannon),"The Computer at West Street: Betty Shannon, the Wiring of Theseus, and Entropy House",1922-2017,national mythology: the canon is true,7,40,1922-04-14,2017-12-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/betty_shannon.journey.json,built,
bill_clinton,William Jefferson Clinton (born William Jefferson Blythe III),"From the Rose Garden Handshake to the Ground Set Aside: Hope, the White House, and the Flight Logs",1946-present,national mythology: the canon is true,8,45,1946-08-19,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/bill_clinton.journey.json,built,
bjarne_stroustrup,Bjarne Stroustrup,Simula in the Kernel: the Dane at Murray Hill and the Language Called C++,1950-,national mythology: the canon is true,9,44,1950-12-30,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/bjarne_stroustrup.journey.json,built,
blas_valera,Blas Valera,"The Knots and the Fire: a Mestizo Jesuit, the Lost Historia Occidentalis, and a Man Who Is Made to Die Twice",1545-1597,national mythology: the canon is true,8,44,1545-01-01,2026-08-12,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/blas_valera.journey.json,built,
blavatsky,Helena Petrovna Blavatsky,Yekaterinoslav to London: The Wanderings of the Sphinx of the Nineteenth Century,1831-1891,national mythology: the canon is true,9,40,1831-08-12,1945-06-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/blavatsky.journey.json,built,
bob_kahn,Robert Elliot Kahn (Bob Kahn),"The Gateway and the Office Not Vacated: Kahn, the Protocol, and a Journey With No Tomb at the End",1938-,national mythology: the canon is true,9,42,1938-12-23,2024-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/bob_kahn.journey.json,built,
bolivar,Simón Bolívar,El Viaje del Libertador: Caracas a Santa Marta,1783-1830,national mythology: the canon is true,8,69,1783-07-24,1830-12-17,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/bolivar.journey.json,built,
borges,Jorge Luis Borges,The Library and the Night: Buenos Aires to Geneva,1899-1987,national mythology — the canon is true,9,42,1899-08-24,1987-10-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/borges.journey.json,built,
braille,Louis Braille,The Fingers That Read: Coupvray to the Panthéon,1809-1852,"national mythology, the canon is true",7,31,1809-01-04,1952-06-22,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/braille.journey.json,built,
brothers_grimm,Jacob Ludwig Carl Grimm and Wilhelm Carl Grimm,"The Amtshaus to the Letter F: two brothers, one household, and the making of a national memory",1785-1863,national mythology: the canon is true,9,44,1785-01-04,2015-09-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/brothers_grimm.journey.json,built,
buckminster_fuller,R. Buckminster Fuller,Milton to Los Angeles: The Comprehensive Anticipatory Design Science of a Single Individual,1895-1983,"national mythology, the canon is true",7,31,1895-07-12,1983-07-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/buckminster_fuller.journey.json,built,
bulwer_lytton,"Edward Bulwer-Lytton, 1st Baron Lytton (Edward George Earle Lytton Bulwer)","Baker Street to Knebworth: the Novelist, the Colonial Office, and the Word Vril",1803-1873,national mythology: the canon is true,9,45,1803-05-25,1982-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/bulwer_lytton.journey.json,built,
burnt_njal,"Njall Thorgeirsson of Bergthorshvoll, called Burnt Njal (Brennu-Njall)","The Beardless Lawyer of the Landeyjar: Njal, the Law, and the Burning at Bergthorshvoll",c. 935 - c. 1011 (the saga's own reckoning); the saga written 1270-1290,national mythology: the canon is true,8,45,0930-01-01,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/burnt_njal.journey.json,built,
cagliostro,"Giuseppe Balsamo, called Count Alessandro di Cagliostro",The Grand Cophta: from the Albergheria to the Pozzetto of San Leo,1743-1795,national mythology: the canon is true,9,45,1743-06-02,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/cagliostro.journey.json,built,
camille_claudel,Camille Rosalie Claudel,"The Clay of the Tardenois to the Pauper's Row: Camille Claudel, Sculptor",1864-1943,national mythology: the canon is true,8,45,1864-12-08,2017-03-26,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/camille_claudel.journey.json,built,
camilo_torres_restrepo,Camilo Torres Restrepo,The Chaplain of the National University: from the Conciliar Seminary to Patio Cemento,1929-1966,national mythology: the canon is true,9,44,1929-02-03,2026-02-24,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/camilo_torres_restrepo.journey.json,built,
captain_alfred_dreyfus,Captain Alfred Dreyfus,"The Bordereau and the Broken Sword: Mulhouse, the Ile du Diable, and the Same Courtyard Twice",1859-1935,national mythology: the canon is true,8,45,1859-10-09,2026-07-12,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/captain_alfred_dreyfus.journey.json,built,
carl_gustav_jung_the_elder,Carl Gustav Jung the elder,"The Hammer, the Chair, and the Poet Seen From Behind: a Rhinelander Made Swiss",1794/95-1864,national mythology: the canon is true,8,43,1795-01-01,1962-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/carl_gustav_jung_the_elder.journey.json,built,
